AccSpeciesName,TraitID,TraitName,OriglName,OrigValueStr,OrigUncertaintyStr,StdValue,UnitName,ErrorRisk,Reference,Comment
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),15.82,NA,1582,mm2,0.607,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus michauxii,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMAp (g m-2),52.94621,NA,18.88709,mm2 mg-1,2.0083,"Niinemets, U. 2001. Global-scale climatic controls of leaf dry mass per area, density, and thickness in trees and shrubs. Ecology 82:453-469.",Ulo Niinemets: LMA for projected area basis -always for broad-leaved species
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.8772,NA,877.2,mg,1.7274,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),128.98,NA,12898,mm2,1.7726,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),90.4602,NA,11.05459,mm2 mg-1,2.6285,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.8184,NA,818.4,mg,1.5997,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),122.07,NA,12207,mm2,1.6368,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Diospyros virginiana,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),96.6803,NA,10.34337,mm2 mg-1,3.5262,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.6659,NA,665.9,mg,1.22,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),105.34,NA,10534,mm2,1.2734,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),125.56,NA,7.96432,mm2 mg-1,2.5683,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.4761,NA,476.1,mg,0.7727,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),90.58,NA,9058,mm2,0.9012,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),79.2212,NA,12.62288,mm2 mg-1,0.7776,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.5525,NA,552.5,mg,0.8762,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),89.42,NA,8942,mm2,0.8694,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carya cordiformis,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),48,NA,20.83333,mm2 mg-1,1.3549,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),5,NA,5,m,1.6161,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.6891,NA,689.1,mg,1.283,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),115.87,NA,11587,mm2,1.5083,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),55.6,NA,17.98561,mm2 mg-1,1.0518,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0482,NA,48.2,mg,0.7482,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),13.64,NA,1364,mm2,0.7187,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),12.91,NA,1291,mm2,0.7669,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),56.1,NA,17.82531,mm2 mg-1,1.5952,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0688,NA,68.8,mg,0.8587,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),18.61,NA,1861,mm2,0.9413,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),17.78,NA,1778,mm2,0.8288,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),35.5,NA,28.16901,mm2 mg-1,1.4656,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0562,NA,56.2,mg,0.6557,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),15.31,NA,1531,mm2,0.6317,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),14.39,NA,1439,mm2,0.6784,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),52.4,NA,19.08397,mm2 mg-1,0.8707,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0339,NA,33.9,mg,1.0348,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),11.63,NA,1163,mm2,0.8765,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),10.82,NA,1082,mm2,0.9524,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carya cordiformis,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),40.68085,NA,24.58159,mm2 mg-1,1.1569,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0712,NA,71.2,mg,0.9036,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),18.78,NA,1878,mm2,0.9637,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),17.56,NA,1756,mm2,0.7981,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),44.64548,NA,22.39869,mm2 mg-1,0.9882,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Carpinus caroliniana,3106,Plant height vegetative,Height_(m),4,NA,4,m,1.0342,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Carpinus caroliniana,55,Leaf dry mass (single leaf),Leaf Mass (g),0.0388,NA,38.8,mg,0.9204,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),10.82,NA,1082,mm2,0.9524,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Carpinus caroliniana,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),10.3,NA,1030,mm2,1.0041,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),52.4,NA,19.08397,mm2 mg-1,0.8707,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),6,NA,6,m,1.3268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.3337,NA,333.7,mg,0.601,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),67.98,NA,6798,mm2,0.7122,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),59.72,NA,5972,mm2,0.6547,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus michauxii,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),52.94621,NA,18.88709,mm2 mg-1,2.0083,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),6,NA,6,m,1.3268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.4619,NA,461.9,mg,0.7581,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),79.81,NA,7981,mm2,0.7833,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus michauxii,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA (g/m2),74.15159,NA,13.48589,mm2 mg-1,0.9796,"Poorter, H., U. Niinemets, L. Poorter, I. J. Wright, and R. Villar. 2009. Causes and consequences of variation in leaf mass per area (LMA): a meta-analysis. New Phytologist 182:565-588.",NA
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),6,NA,6,m,1.3268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.3017,NA,301.7,mg,0.5523,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),55.21,NA,5521,mm2,0.6199,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus americana,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",SLA,153.85,NA,15.385,mm2 mg-1,1.1491,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",mm2/mg
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),6,NA,6,m,1.3268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.1641,NA,164.1,mg,1.3592,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),45.96,NA,4596,mm2,0.7715,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),35.46,NA,3546,mm2,1.411,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus americana,3117,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",LMA,64.99838,NA,15.385,mm2 mg-1,0.8018,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",g/m2
Liquidambar styraciflua,3106,Plant height vegetative,Height_(m),6,NA,6,m,1.3268,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.",Height of the plant (m)
Liquidambar styraciflua,55,Leaf dry mass (single leaf),Leaf Mass (g),0.2969,NA,296.9,mg,0.5446,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Mass (g), dry leaf mass, measured on pressed leaves, dried at room temperature."
Liquidambar styraciflua,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",Leaf Area (cm^2),67.73,NA,6773,mm2,0.7106,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
